# Country: Name of the country
# hdi_ranking: Human Development Index
# gpi_ranking: Global Peace Index
# cpi_ranking: Corruption Perceptions Index
# gii_ranking: Global Innovation Index
# di_ranking: Democracy Index
# le_ranking: life expectancy
# gpd_ranking: GDP Per Capita
# schooling_ranking: Years Of Schooling
Country,hdi_ranking,gpi_ranking,cpi_ranking,gii_ranking,di_ranking,le_ranking,gpd_ranking,schooling_ranking
Afghanistan,88.0,98.0,96.0,88.0,82.0,95.0,77.0,93.0
Algeria,47.0,69.0,52.0,77.0,64.0,40.0,48.0,63.0
Angola,67.0,25.0,75.0,89.0,66.0,89.0,64.0,74.0
Argentina,24.0,13.0,35.0,46.0,23.0,29.0,27.0,28.0
Australia,3.0,11.0,4.0,14.0,2.0,2.0,12.0,11.0
Austria,10.0,3.0,7.0,12.0,8.0,11.0,24.0,17.0
Azerbaijan,44.0,41.0,67.0,48.0,88.0,51.0,67.0,33.0
Bangladesh,61.0,64.0,80.0,72.0,42.0,43.0,33.0,64.0
Belarus,30.0,56.0,26.0,38.0,89.0,44.0,62.0,19.0
Belgium,5.0,12.0,8.0,13.0,18.0,14.0,22.0,14.0
Benin,87.0,73.0,37.0,82.0,57.0,80.0,84.0,91.0
Bolivia,56.0,27.0,63.0,61.0,50.0,72.0,71.0,42.0
Brazil,38.0,52.0,44.0,37.0,24.0,38.0,11.0,56.0
Bulgaria,27.0,0.0,29.0,22.0,26.0,42.0,58.0,24.0
Burkina Faso,95.0,68.0,38.0,74.0,65.0,87.0,81.0,97.0
Burundi,96.0,83.0,95.0,90.0,92.0,79.0,96.0,90.0
Cambodia,71.0,35.0,90.0,66.0,77.0,63.0,73.0,80.0
Cameroon,73.0,89.0,79.0,75.0,85.0,90.0,69.0,67.0
Canada,6.0,6.0,5.0,11.0,1.0,10.0,8.0,2.0
Chad,98.0,85.0,94.0,91.0,98.0,98.0,91.0,96.0
Chile,23.0,21.0,12.0,34.0,7.0,19.0,37.0,30.0
China,34.0,42.0,36.0,9.0,90.0,23.0,1.0,57.0
Colombia,41.0,72.0,42.0,42.0,22.0,31.0,34.0,49.0
Cuba,43.0,54.0,27.0,92.0,83.0,21.0,51.0,38.0
Czech Republic,17.0,4.0,19.0,15.0,17.0,20.0,39.0,7.0
Dominican Republic,40.0,22.0,73.0,52.0,34.0,41.0,56.0,47.0
Ecuador,48.0,39.0,43.0,57.0,38.0,46.0,53.0,50.0
Egypt,49.0,84.0,57.0,56.0,81.0,62.0,28.0,41.0
Ethiopia,90.0,87.0,45.0,83.0,71.0,67.0,50.0,94.0
France,14.0,24.0,11.0,7.0,12.0,8.0,6.0,21.0
Germany,1.0,7.0,3.0,5.0,5.0,13.0,3.0,0.0
Ghana,66.0,37.0,34.0,64.0,32.0,77.0,59.0,66.0
Greece,18.0,58.0,24.0,25.0,19.0,16.0,43.0,23.0
Guatemala,63.0,43.0,84.0,62.0,53.0,56.0,57.0,76.0
Guinea,89.0,32.0,83.0,86.0,78.0,93.0,83.0,95.0
Haiti,79.0,59.0,92.0,93.0,60.0,84.0,85.0,78.0
Honduras,64.0,23.0,88.0,60.0,47.0,60.0,76.0,61.0
Hungary,22.0,29.0,30.0,21.0,30.0,33.0,46.0,18.0
India,62.0,88.0,39.0,30.0,27.0,61.0,5.0,68.0
Indonesia,53.0,46.0,51.0,49.0,35.0,64.0,15.0,55.0
Iran,37.0,94.0,85.0,41.0,91.0,34.0,41.0,35.0
Iraq,58.0,91.0,89.0,94.0,67.0,59.0,45.0,65.0
Israel,12.0,75.0,17.0,8.0,15.0,4.0,26.0,4.0
Italy,16.0,5.0,21.0,16.0,16.0,6.0,7.0,34.0
Ivory Coast,82.0,47.0,53.0,68.0,61.0,85.0,61.0,83.0
Japan,11.0,19.0,9.0,10.0,9.0,0.0,2.0,10.0
Jordan,46.0,50.0,25.0,47.0,68.0,22.0,66.0,39.0
Kazakhstan,28.0,38.0,46.0,45.0,75.0,54.0,44.0,15.0
Kenya,69.0,79.0,64.0,50.0,51.0,73.0,52.0,58.0
Laos,65.0,18.0,71.0,69.0,97.0,68.0,78.0,73.0
Madagascar,91.0,31.0,81.0,71.0,45.0,86.0,88.0,85.0
Malawi,86.0,48.0,68.0,67.0,44.0,83.0,90.0,79.0
Malaysia,31.0,1.0,23.0,19.0,20.0,26.0,31.0,32.0
Mali,97.0,86.0,69.0,79.0,63.0,92.0,82.0,98.0
Mexico,42.0,80.0,65.0,35.0,40.0,57.0,14.0,46.0
