countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.70538475,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,2797.703558,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.501,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,61.454,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,2.845718344,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,5.844291601,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,63.116,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.61,
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,6980.715433,
AGO,Angola,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,12.1676,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,14.73484993,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,14553.63559,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.794,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,77.824,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,10.12114431,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.25999991,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,79.418,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.851,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,55488.38734,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,11.91193008,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,13.52027988,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,68048.76036,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.909,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,81.936,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.73000002,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.14000034,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,75.878,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.851,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,23151.58354,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,18.36116028,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,14.07796955,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,15639.59163,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.761,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,68.89,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.32999992,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.68141116,
ATG,Antigua and Barbuda,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,77.161,
ATG,Antigua and Barbuda,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.84,
ATG,Antigua and Barbuda,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,22900.017,
ATG,Antigua and Barbuda,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.51232774,
AUS,Australia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,20.93943977,
AUS,Australia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,53837.41334,
AUS,Australia,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.95,
AUS,Australia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,83.664,
AUS,Australia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.64000034,
AUT,Austria,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.31062811,
AUT,Austria,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,81.804,
AUT,Austria,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.925,
AUT,Austria,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,62011.50517,
AUT,Austria,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,16.12446976,
AZE,Azerbaijan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,12.63230991,
AZE,Azerbaijan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,18743.01221,
AZE,Azerbaijan,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.757,
AZE,Azerbaijan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,70.312,
AZE,Azerbaijan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,10.74750018,
BDI,Burundi,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,3.291590683,
BDI,Burundi,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,62.569,
BDI,Burundi,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.435,
BDI,Burundi,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,866.1928704,
BDI,Burundi,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,9.966378953,
BEL,Belgium,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,19.27527046,
BEL,Belgium,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,59543.68308,
BEL,Belgium,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.939,
BEL,Belgium,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,80.798,
BEL,Belgium,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.53386908,
BEN,Benin,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,3.113870025,
BEN,Benin,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,60.154,
BEN,Benin,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.504,
BEN,Benin,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,3394.211342,
BEN,Benin,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.30257988,
BFA,Burkina Faso,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,8.777890205,
BFA,Burkina Faso,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,2286.295787,
BFA,Burkina Faso,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.453,
BFA,Burkina Faso,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,60.454,
BFA,Burkina Faso,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,2.183274984,
BGD,Bangladesh,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,7.099999905,
BGD,Bangladesh,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,71.421,
BGD,Bangladesh,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.663,
BGD,Bangladesh,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,7256.570492,
