config,method,mean_gap
"(6, 100)",Max Agreement,44.03400000000003
"(8, 100)",Max Agreement,40.99616666666676
"(10, 100)",Max Agreement,37.5529333333335
"(6, 125)",Max Agreement,72.78822222222227
"(8, 125)",Max Agreement,66.13183333333352
"(10, 125)",Max Agreement,59.236799999999825
"(6, 150)",Max Agreement,100.30666666666691
"(8, 150)",Max Agreement,98.78016666666674
"(10, 150)",Max Agreement,83.86653333333356
"(6, 100)",Min Repeat,40.387555555555686
"(8, 100)",Min Repeat,37.97050000000013
"(10, 100)",Min Repeat,35.18466666666677
"(6, 125)",Min Repeat,66.93288888888878
"(8, 125)",Min Repeat,61.122833333333425
"(10, 125)",Min Repeat,55.542533333333346
"(6, 150)",Min Repeat,92.9062222222223
"(8, 150)",Min Repeat,91.79333333333322
"(10, 150)",Min Repeat,78.44520000000034
"(6, 100)",KwikSort,90.47555555555569
"(8, 100)",KwikSort,80.93466666666673
"(10, 100)",KwikSort,69.48213333333342
"(6, 125)",KwikSort,147.4239999999999
"(8, 125)",KwikSort,128.82083333333335
"(10, 125)",KwikSort,116.78573333333345
"(6, 150)",KwikSort,214.1568888888888
"(8, 150)",KwikSort,182.5108333333334
"(10, 150)",KwikSort,170.56333333333365
"(6, 100)",Markov Chain,71.25688888888901
"(8, 100)",Markov Chain,66.60983333333338
"(10, 100)",Markov Chain,62.51320000000006
"(6, 125)",Markov Chain,114.0300000000002
"(8, 125)",Markov Chain,106.42683333333336
"(10, 125)",Markov Chain,93.63839999999998
"(6, 150)",Markov Chain,154.70466666666644
"(8, 150)",Markov Chain,156.6590000000002
"(10, 150)",Markov Chain,132.04973333333373
"(6, 100)",DECOR,21.583555555555677
"(8, 100)",DECOR,18.31249465597868
"(10, 100)",DECOR,13.823308617234375
"(6, 125)",DECOR,26.219222222222317
"(8, 125)",DECOR,22.84966666666681
"(10, 125)",DECOR,18.07173333333306
"(6, 150)",DECOR,33.86299999999983
"(8, 150)",DECOR,27.872916666666697
"(10, 150)",DECOR,24.652799999999996
"(6, 100)",Borda,56.719111111111225
"(8, 100)",Borda,53.32833333333341
"(10, 100)",Borda,49.84480000000004
"(6, 125)",Borda,90.4120000000001
"(8, 125)",Borda,83.0445000000002
"(10, 125)",Borda,75.25879999999977
"(6, 150)",Borda,122.35688888888929
"(8, 150)",Borda,121.57850000000008
"(10, 150)",Borda,103.85520000000027
"(6, 100)",Footrule,39.3237777777778
"(8, 100)",Footrule,37.30300000000003
"(10, 100)",Footrule,33.66786666666667
"(6, 125)",Footrule,62.40666666666667
"(8, 125)",Footrule,57.384000000000164
"(10, 125)",Footrule,54.4212
"(6, 150)",Footrule,87.7584444444448
"(8, 150)",Footrule,78.58500000000011
"(10, 150)",Footrule,76.4701333333337
"(6, 100)",Kemeny Transformer,0.0
"(8, 100)",Kemeny Transformer,0.0
"(10, 100)",Kemeny Transformer,0.0
"(6, 125)",Kemeny Transformer,0.0
"(8, 125)",Kemeny Transformer,0.0
"(10, 125)",Kemeny Transformer,0.0
"(6, 150)",Kemeny Transformer,0.0
"(8, 150)",Kemeny Transformer,0.0
"(10, 150)",Kemeny Transformer,0.0
