dataset,n_voters,n_items,borda_mean,footrule_mean
jiggling,6,100,668.7856666666668,632.2203333333332
jiggling,6,125,1102.5013333333332,1037.776
jiggling,6,150,1455.4803333333334,1359.4403333333335
jiggling,8,100,843.4745,804.7795
jiggling,8,125,1243.57175,1170.13525
jiggling,8,150,1710.2525,1592.811
jiggling,10,100,864.7986,824.3334
jiggling,10,125,1402.0527999999997,1334.942
jiggling,10,150,1961.9163999999998,1878.3912000000003
random,6,100,1795.9346666666668,1831.5473333333334
random,6,125,2813.014666666667,2867.941333333333
random,6,150,4064.822666666667,4145.216666666667
random,8,100,1892.19375,1928.46675
random,8,125,2962.166,3019.1595
random,8,150,4277.88875,4359.84075
random,10,100,1954.5118,1991.0202
random,10,125,3064.9908,3121.252
random,10,150,4413.0714,4493.7358
repeat,6,100,1161.9056666666665,1110.6723333333332
repeat,6,125,1844.531,1770.3136666666667
repeat,6,150,2780.207666666667,2692.0583333333334
repeat,8,100,1335.7405,1290.0865
repeat,8,125,2073.72625,2013.18775
repeat,8,150,3014.98525,2921.49425
repeat,10,100,1381.904,1337.33
repeat,10,125,2296.4175999999998,2244.7544000000003
repeat,10,150,3189.0288000000005,3109.7344
