dataset,method,mean_kemeny,total_time_sec,n_items
2012_10_voters_common,gurobi,2295.6,21.8441379070282,135
2012_10_voters_common,transformer,2310.8,0.2564361095428467,135
2012_10_voters_common,decor,2321.4,5.8414945602417,135
2012_10_voters_common,min_regret,2331.2,0.1165535449981689,135
2012_10_voters_common,max_agreement,2331.4,0.1102721691131591,135
2012_10_voters_common,borda,2340.4,6.771087646484375e-05,135
2012_10_voters_common,markov_chain,2353.2,0.4946002960205078,135
2012_10_voters_common,spearman,2360.6,0.0017933845520019,135
2012_10_voters_common,kwiksort,2362.4,0.1068031787872314,135
2012_6_voters_common,transformer,16555.333333333332,0.6900017261505127,349
2012_6_voters_common,decor,16675.0,21.1722040176392,349
2012_6_voters_common,max_agreement,16823.0,0.7621216773986816,349
2012_6_voters_common,min_regret,16827.666666666668,0.8270280361175537,349
2012_6_voters_common,borda,16862.333333333332,5.8650970458984375e-05,349
2012_6_voters_common,markov_chain,16993.333333333332,0.0714845657348632,349
2012_6_voters_common,spearman,17060.666666666668,0.0107693672180175,349
2012_6_voters_common,kwiksort,17784.666666666668,0.7183129787445068,349
2013_10_voters_common,gurobi,535.0,1.6591565608978271,67
2013_10_voters_common,min_regret,542.4,0.0284781455993652,67
2013_10_voters_common,transformer,542.6,0.1337120532989502,67
2013_10_voters_common,decor,543.0,2.64728307723999,67
2013_10_voters_common,max_agreement,545.6,0.0272440910339355,67
2013_10_voters_common,borda,546.6,2.789497375488281e-05,67
2013_10_voters_common,spearman,550.2,0.0002541542053222,67
2013_10_voters_common,markov_chain,551.4,0.0012867450714111,67
2013_10_voters_common,kwiksort,562.2,0.0264651775360107,67
2013_6_voters_common,transformer,16994.333333333332,0.7589263916015625,349
2013_6_voters_common,decor,17137.6666666667,20.9785118103027,349
2013_6_voters_common,max_agreement,17291.0,0.7617876529693604,349
2013_6_voters_common,min_regret,17294.333333333332,0.8313603401184082,349
2013_6_voters_common,borda,17372.333333333332,5.91278076171875e-05,349
2013_6_voters_common,markov_chain,17483.333333333332,0.0608918666839599,349
2013_6_voters_common,spearman,17494.333333333332,0.0084669589996337,349
2013_6_voters_common,kwiksort,18149.666666666668,0.71014404296875,349
2014_10_voters_common,transformer,10496.3,0.6857824325561523,349
2014_10_voters_common,decor,10525.9,21.0685992240906,349
2014_10_voters_common,min_regret,10698.5,0.8386285305023193,349
2014_10_voters_common,spearman,10735.1,0.008796215057373,349
2014_10_voters_common,kwiksort,10765.7,0.7198729515075684,349
2014_10_voters_common,borda,10827.1,6.079673767089844e-05,349
2014_10_voters_common,max_agreement,10903.3,0.7556602954864502,349
2014_10_voters_common,markov_chain,11151.9,0.0665383338928222,349
2014_6_voters_common,transformer,67354.0,1.9409358501434328,987
2014_6_voters_common,decor,67385.3333333333,122.610815525055,987
2014_6_voters_common,kwiksort,69192.0,5.591261863708496,987
2014_6_voters_common,spearman,69450.66666666667,0.0564329624176025,987
2014_6_voters_common,min_regret,69833.33333333333,8.119675636291504,987
2014_6_voters_common,borda,70232.33333333333,0.0001263618469238,987
2014_6_voters_common,max_agreement,70585.66666666667,6.719118595123291,987
2014_6_voters_common,markov_chain,73580.0,0.5983176231384277,987
2015_10_voters_common,transformer,10999.4,0.6979663372039795,355
2015_10_voters_common,decor,11020.8,21.7080082893372,355
2015_10_voters_common,kwiksort,11145.6,0.730546236038208,355
2015_10_voters_common,min_regret,11192.0,0.8545036315917969,355
2015_10_voters_common,spearman,11237.8,0.0066308975219726,355
2015_10_voters_common,max_agreement,11302.8,0.7826712131500244,355
2015_10_voters_common,borda,11325.0,5.841255187988281e-05,355
2015_10_voters_common,markov_chain,11639.4,0.0709435939788818,355
2015_6_voters_common,transformer,72816.66666666667,1.9397168159484863,987
2015_6_voters_common,decor,72837.0,125.464663267136,987
2015_6_voters_common,spearman,74865.33333333333,0.0624985694885253,987
2015_6_voters_common,kwiksort,74930.66666666667,5.620720624923706,987
2015_6_voters_common,min_regret,75556.33333333333,8.165706634521484,987
2015_6_voters_common,borda,75870.33333333333,0.0001263618469238,987
2015_6_voters_common,max_agreement,76325.33333333333,6.794280529022217,987
2015_6_voters_common,markov_chain,79244.66666666667,0.6054749488830566,987
