26-03-07--06-25-36

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 0, epoch time: 11.92min, tot time: 0.01day, kemeny_dis_train: 1953.926475, kemeny_dis_base: 2530.646114, update: True, training_phase: 2
Epoch: 1, epoch time: 11.65min, tot time: 0.02day, kemeny_dis_train: 1899.834577, kemeny_dis_base: 1956.624749, update: True, training_phase: 2
Epoch: 2, epoch time: 11.63min, tot time: 0.02day, kemeny_dis_train: 1897.128581, kemeny_dis_base: 1908.048399, update: True, training_phase: 2
Epoch: 3, epoch time: 11.61min, tot time: 0.03day, kemeny_dis_train: 1893.011100, kemeny_dis_base: 1895.504048, update: True, training_phase: 2
Epoch: 4, epoch time: 11.60min, tot time: 0.04day, kemeny_dis_train: 1888.129953, kemeny_dis_base: 1888.559271, update: True, training_phase: 2
Epoch: 5, epoch time: 11.52min, tot time: 0.05day, kemeny_dis_train: 1895.099119, kemeny_dis_base: 1895.240509, update: True, training_phase: 2
Epoch: 6, epoch time: 11.60min, tot time: 0.06day, kemeny_dis_train: 1891.638920, kemeny_dis_base: 1891.598513, update: False, training_phase: 2
Epoch: 7, epoch time: 11.56min, tot time: 0.06day, kemeny_dis_train: 1891.524655, kemeny_dis_base: 1891.286053, update: False, training_phase: 2
Epoch: 8, epoch time: 11.54min, tot time: 0.07day, kemeny_dis_train: 1884.701859, kemeny_dis_base: 1884.800587, update: True, training_phase: 2
Epoch: 9, epoch time: 11.63min, tot time: 0.08day, kemeny_dis_train: 1874.803010, kemeny_dis_base: 1874.939390, update: True, training_phase: 2
Epoch: 10, epoch time: 11.56min, tot time: 0.09day, kemeny_dis_train: 1893.741269, kemeny_dis_base: 1893.713302, update: False, training_phase: 2
Epoch: 11, epoch time: 11.60min, tot time: 0.10day, kemeny_dis_train: 1897.349229, kemeny_dis_base: 1897.166976, update: False, training_phase: 2
Epoch: 12, epoch time: 11.58min, tot time: 0.10day, kemeny_dis_train: 1878.016760, kemeny_dis_base: 1877.822944, update: False, training_phase: 2
Epoch: 13, epoch time: 11.63min, tot time: 0.11day, kemeny_dis_train: 1887.524286, kemeny_dis_base: 1887.346346, update: False, training_phase: 2
Epoch: 14, epoch time: 11.57min, tot time: 0.12day, kemeny_dis_train: 1889.346285, kemeny_dis_base: 1888.983652, update: False, training_phase: 2
Epoch: 15, epoch time: 11.59min, tot time: 0.13day, kemeny_dis_train: 1880.332985, kemeny_dis_base: 1880.186083, update: False, training_phase: 2
Epoch: 16, epoch time: 11.61min, tot time: 0.14day, kemeny_dis_train: 1890.141104, kemeny_dis_base: 1889.708837, update: False, training_phase: 2
Epoch: 17, epoch time: 11.59min, tot time: 0.15day, kemeny_dis_train: 1887.525671, kemeny_dis_base: 1887.535171, update: False, training_phase: 2
Epoch: 18, epoch time: 11.63min, tot time: 0.15day, kemeny_dis_train: 1891.921118, kemeny_dis_base: 1891.982590, update: False, training_phase: 2
Epoch: 19, epoch time: 11.62min, tot time: 0.16day, kemeny_dis_train: 1890.228880, kemeny_dis_base: 1890.188022, update: False, training_phase: 2
Epoch: 20, epoch time: 11.61min, tot time: 0.17day, kemeny_dis_train: 1896.011556, kemeny_dis_base: 1896.258119, update: True, training_phase: 2
Epoch: 21, epoch time: 11.70min, tot time: 0.18day, kemeny_dis_train: 1885.880321, kemeny_dis_base: 1886.485052, update: True, training_phase: 2
Epoch: 22, epoch time: 14.55min, tot time: 0.19day, kemeny_dis_train: 1893.564499, kemeny_dis_base: 1893.635433, update: False, training_phase: 2
Epoch: 23, epoch time: 15.01min, tot time: 0.20day, kemeny_dis_train: 1886.499773, kemeny_dis_base: 1887.519002, update: True, training_phase: 2
Epoch: 24, epoch time: 15.06min, tot time: 0.21day, kemeny_dis_train: 1896.373286, kemeny_dis_base: 1897.013813, update: True, training_phase: 2
Epoch: 25, epoch time: 14.99min, tot time: 0.22day, kemeny_dis_train: 1897.791143, kemeny_dis_base: 1898.036662, update: True, training_phase: 2
Epoch: 26, epoch time: 14.97min, tot time: 0.23day, kemeny_dis_train: 1882.225023, kemeny_dis_base: 1882.086696, update: False, training_phase: 2
