26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 401, epoch time: 10.32min, tot time: 3.49day, kemeny_dis_train: 1453.138164, kemeny_dis_base: 1456.825134, update: True, training_phase: 2
Epoch: 402, epoch time: 10.23min, tot time: 3.50day, kemeny_dis_train: 1435.333824, kemeny_dis_base: 1437.373419, update: True, training_phase: 2
Epoch: 403, epoch time: 10.21min, tot time: 3.51day, kemeny_dis_train: 1446.462347, kemeny_dis_base: 1446.679303, update: True, training_phase: 2
Epoch: 404, epoch time: 10.21min, tot time: 3.51day, kemeny_dis_train: 1446.658258, kemeny_dis_base: 1447.729808, update: True, training_phase: 2
Epoch: 405, epoch time: 10.24min, tot time: 3.52day, kemeny_dis_train: 1424.187462, kemeny_dis_base: 1424.186985, update: False, training_phase: 2
Epoch: 406, epoch time: 10.19min, tot time: 3.53day, kemeny_dis_train: 1450.959467, kemeny_dis_base: 1451.552212, update: True, training_phase: 2
Epoch: 407, epoch time: 10.24min, tot time: 3.53day, kemeny_dis_train: 1429.380008, kemeny_dis_base: 1429.550248, update: True, training_phase: 2
Epoch: 408, epoch time: 10.25min, tot time: 3.54day, kemeny_dis_train: 1444.305361, kemeny_dis_base: 1444.244988, update: False, training_phase: 2
Epoch: 409, epoch time: 10.22min, tot time: 3.55day, kemeny_dis_train: 1451.559951, kemeny_dis_base: 1451.856489, update: True, training_phase: 2
Epoch: 410, epoch time: 10.26min, tot time: 3.56day, kemeny_dis_train: 1429.505873, kemeny_dis_base: 1429.750539, update: True, training_phase: 2
Epoch: 411, epoch time: 10.29min, tot time: 3.56day, kemeny_dis_train: 1419.230730, kemeny_dis_base: 1419.068637, update: False, training_phase: 2
Epoch: 412, epoch time: 10.22min, tot time: 3.57day, kemeny_dis_train: 1441.599847, kemeny_dis_base: 1441.677541, update: False, training_phase: 2
Epoch: 413, epoch time: 10.23min, tot time: 3.58day, kemeny_dis_train: 1444.406826, kemeny_dis_base: 1444.346636, update: False, training_phase: 2
Epoch: 414, epoch time: 10.18min, tot time: 3.58day, kemeny_dis_train: 1447.515653, kemeny_dis_base: 1447.452415, update: False, training_phase: 2
Epoch: 415, epoch time: 10.27min, tot time: 3.59day, kemeny_dis_train: 1439.131892, kemeny_dis_base: 1439.259316, update: True, training_phase: 2
Epoch: 416, epoch time: 10.16min, tot time: 3.60day, kemeny_dis_train: 1433.159781, kemeny_dis_base: 1433.123648, update: False, training_phase: 2
Epoch: 417, epoch time: 10.22min, tot time: 3.61day, kemeny_dis_train: 1447.009226, kemeny_dis_base: 1446.862140, update: False, training_phase: 2
Epoch: 418, epoch time: 10.23min, tot time: 3.61day, kemeny_dis_train: 1453.034216, kemeny_dis_base: 1453.106493, update: False, training_phase: 2
Epoch: 419, epoch time: 10.17min, tot time: 3.62day, kemeny_dis_train: 1438.276746, kemeny_dis_base: 1438.431642, update: True, training_phase: 2
Epoch: 420, epoch time: 10.24min, tot time: 3.63day, kemeny_dis_train: 1445.378312, kemeny_dis_base: 1445.367912, update: False, training_phase: 2
Epoch: 421, epoch time: 10.25min, tot time: 3.63day, kemeny_dis_train: 1447.125114, kemeny_dis_base: 1447.230828, update: True, training_phase: 2
Epoch: 422, epoch time: 10.22min, tot time: 3.64day, kemeny_dis_train: 1421.203344, kemeny_dis_base: 1421.133715, update: False, training_phase: 2
Epoch: 423, epoch time: 10.15min, tot time: 3.65day, kemeny_dis_train: 1443.378699, kemeny_dis_base: 1443.290929, update: False, training_phase: 2
Epoch: 424, epoch time: 10.18min, tot time: 3.66day, kemeny_dis_train: 1448.446049, kemeny_dis_base: 1447.892304, update: False, training_phase: 2
Epoch: 425, epoch time: 10.20min, tot time: 3.66day, kemeny_dis_train: 1435.455315, kemeny_dis_base: 1435.464910, update: False, training_phase: 2
Epoch: 426, epoch time: 10.27min, tot time: 3.67day, kemeny_dis_train: 1433.770994, kemeny_dis_base: 1433.871849, update: True, training_phase: 2
Epoch: 427, epoch time: 10.30min, tot time: 3.68day, kemeny_dis_train: 1432.014950, kemeny_dis_base: 1431.795226, update: False, training_phase: 2
