26-03-07--06-29-24

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=8
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[8, 8]
num_items_range=[100, 100]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random
sample_voters_from_range=True
sample_items_from_range=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset/
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/8_voters_100_items_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 0, epoch time: 12.06min, tot time: 0.01day, kemeny_dis_train: 1954.461609, kemeny_dis_base: 2365.800110, update: True, training_phase: 2
Epoch: 1, epoch time: 11.68min, tot time: 0.02day, kemeny_dis_train: 1903.710999, kemeny_dis_base: 1954.213562, update: True, training_phase: 2
Epoch: 2, epoch time: 10.81min, tot time: 0.02day, kemeny_dis_train: 1892.138550, kemeny_dis_base: 1904.700928, update: True, training_phase: 2
Epoch: 3, epoch time: 9.73min, tot time: 0.03day, kemeny_dis_train: 1890.723877, kemeny_dis_base: 1892.703247, update: True, training_phase: 2
Epoch: 4, epoch time: 9.78min, tot time: 0.04day, kemeny_dis_train: 1889.955811, kemeny_dis_base: 1890.338745, update: True, training_phase: 2
Epoch: 5, epoch time: 9.75min, tot time: 0.04day, kemeny_dis_train: 1890.948486, kemeny_dis_base: 1891.067871, update: True, training_phase: 2
Epoch: 6, epoch time: 9.78min, tot time: 0.05day, kemeny_dis_train: 1889.382141, kemeny_dis_base: 1889.566223, update: True, training_phase: 2
Epoch: 7, epoch time: 9.77min, tot time: 0.06day, kemeny_dis_train: 1886.301270, kemeny_dis_base: 1886.256104, update: False, training_phase: 2
Epoch: 8, epoch time: 9.72min, tot time: 0.06day, kemeny_dis_train: 1890.083191, kemeny_dis_base: 1890.418030, update: True, training_phase: 2
Epoch: 9, epoch time: 9.74min, tot time: 0.07day, kemeny_dis_train: 1890.210083, kemeny_dis_base: 1890.073120, update: False, training_phase: 2
Epoch: 10, epoch time: 9.73min, tot time: 0.08day, kemeny_dis_train: 1890.275085, kemeny_dis_base: 1890.249817, update: False, training_phase: 2
Epoch: 11, epoch time: 9.74min, tot time: 0.08day, kemeny_dis_train: 1890.267578, kemeny_dis_base: 1890.121582, update: False, training_phase: 2
Epoch: 12, epoch time: 9.72min, tot time: 0.09day, kemeny_dis_train: 1889.474792, kemeny_dis_base: 1889.832703, update: True, training_phase: 2
Epoch: 13, epoch time: 9.78min, tot time: 0.10day, kemeny_dis_train: 1888.614502, kemeny_dis_base: 1889.666138, update: True, training_phase: 2
Epoch: 14, epoch time: 9.76min, tot time: 0.11day, kemeny_dis_train: 1886.588440, kemeny_dis_base: 1887.782043, update: True, training_phase: 2
Epoch: 15, epoch time: 9.75min, tot time: 0.11day, kemeny_dis_train: 1886.111450, kemeny_dis_base: 1886.605835, update: True, training_phase: 2
Epoch: 16, epoch time: 9.73min, tot time: 0.12day, kemeny_dis_train: 1885.422974, kemeny_dis_base: 1885.895874, update: True, training_phase: 2
Epoch: 17, epoch time: 9.75min, tot time: 0.13day, kemeny_dis_train: 1886.862000, kemeny_dis_base: 1887.160339, update: True, training_phase: 2
Epoch: 18, epoch time: 9.74min, tot time: 0.13day, kemeny_dis_train: 1883.701965, kemeny_dis_base: 1884.151306, update: True, training_phase: 2
Epoch: 19, epoch time: 9.71min, tot time: 0.14day, kemeny_dis_train: 1884.867981, kemeny_dis_base: 1885.721375, update: True, training_phase: 2
Epoch: 20, epoch time: 9.73min, tot time: 0.15day, kemeny_dis_train: 1884.650818, kemeny_dis_base: 1884.647888, update: False, training_phase: 2
